year,month,monthly_total_precipitation_mm_manual,monthly_average_wind_speed,monthly_maximum_precipitation_mm_manual,minimum_temperature_c,maximum_temperature_c,average_temperature_c,maximum_actual_pressure_hpa,monthly_total_precipitation_mm,minimum_actual_pressure_hpa,maximum_precipitation_mm,maximum_wind_direction_and_speed,average_actual_pressure_hpa
2017,1,119.5,2.0,39.8,-13.6,9.7,-1.6,1029.1,100.8,992.1,39.6,N   11.3,1015.2
2017,2,32.7,2.2,23.8,-6.5,21.5,5.6,1030.6,31.6,1003.4,22.6,S   10.3,1016.3
2017,3,47.5,2.1,13.5,-1.0,25.6,10.9,1019.7,46.4,998.5,12.2,N   11.8,1009.3
2017,4,60.1,2.0,39.2,-0.7,30.4,13.2,1019.3,56.6,999.9,36.8,ESE 10.3,1009.9
2017,5,64.9,2.1,33.7,7.0,33.5,18.7,1017.4,63.4,994.3,32.0,N   11.8,1007.7
2017,6,98.1,1.9,52.4,13.3,40.3,23.9,1011.5,93.0,1001.3,48.8,N   9.8,1006.9
2017,7,78.3,2.1,35.2,14.5,41.0,25.9,1013.4,76.0,993.0,35.4,SW  15.9,1006.0
2017,8,11.7,2.1,5.6,13.0,40.8,26.6,1018.9,10.6,998.0,5.2,NNE 12.3,1007.7
2017,9,15.6,2.1,5.8,9.1,36.2,22.2,1019.9,13.4,997.8,4.8,SSE 10.8,1007.8
2017,10,156.9,1.7,47.4,5.2,27.8,14.3,1022.5,132.8,993.2,40.0,WNW 12.3,1011.3
2017,11,67.7,1.6,27.4,-0.2,21.8,10.0,1020.6,66.0,1000.0,26.4,SSE 13.9,1011.3
2017,12,112.8,2.2,35.0,-3.1,21.3,7.9,1026.0,110.8,998.1,35.0,S   14.4,1011.5
2018,1,50.6,1.9,24.8,-4.7,15.4,4.7,1029.0,49.4,988.1,24.6,NW  14.9,1013.4
2018,2,132.4,2.2,24.2,-5.0,17.4,6.2,1020.1,126.4,994.7,24.4,S   12.3,1008.4
2018,3,148.4,2.2,19.6,-10.5,23.1,9.3,1018.3,150.8,991.5,19.6,SSE 12.3,1003.0
2018,4,3.2,2.1,3.0,5.3,31.0,17.5,1018.1,3.2,994.1,3.0,SSE 13.4,1009.5
2018,5,24.8,2.1,8.8,8.5,31.0,20.7,1013.7,24.4,996.9,8.8,S   12.3,1006.6
2018,6,102.9,1.9,32.2,13.0,34.3,23.2,1013.0,91.4,995.2,30.0,NNE 13.9,1003.9
2018,7,65.9,1.7,15.6,17.6,34.9,25.4,1010.3,65.6,995.6,15.6,NW  10.8,1003.2
2018,8,5.0,2.1,3.8,16.5,35.6,26.4,1014.5,4.8,998.7,3.6,NNE 9.8,1007.1
2018,9,12.8,1.9,8.8,6.0,36.7,21.6,1025.5,12.8,1000.4,8.8,NNE 12.3,1010.8
2018,10,40.4,1.8,21.4,1.2,25.4,16.1,1024.3,40.0,994.6,21.4,WNW 12.3,1013.2
2018,11,174.7,2.1,128.5,-2.0,25.5,10.0,1023.8,165.8,997.3,119.6,N   14.4,1015.3
2018,12,31.2,1.6,7.4,-4.6,16.4,4.2,1023.5,30.4,998.1,7.4,NNE 10.3,1013.3
2019,1,67.0,2.1,36.8,-8.8,16.1,4.5,1018.6,66.2,990.3,37.0,NNW 12.3,1005.2
2019,2,25.2,2.4,8.2,-4.5,19.0,6.1,1029.6,25.0,996.5,8.0,NNE 15.4,1014.9
2019,3,2.8,2.2,2.4,-1.1,23.8,10.6,1024.9,3.0,999.0,2.4,N   11.3,1011.1
2019,4,59.0,2.0,20.2,0.5,26.2,13.1,1020.0,58.8,992.7,20.0,S   11.3,1009.0
2019,5,54.6,1.9,15.4,5.5,32.3,19.0,1013.2,54.0,995.3,15.4,SSE 11.3,1004.9
2019,6,34.9,1.9,15.8,13.9,36.3,25.0,1013.2,34.8,1002.3,15.8,NNW 10.3,1007.4
2019,7,38.4,1.8,16.6,15.1,38.9,25.4,1013.5,38.4,994.8,16.6,NNW 11.3,1005.1
2019,8,44.5,2.0,32.3,15.1,38.5,26.5,1013.3,40.4,996.3,28.2,NE  9.8,1008.0
2019,9,12.2,1.8,5.4,7.2,34.7,21.7,1019.9,12.2,1001.0,5.6,N   10.3,1010.0
2019,10,24.6,1.4,16.2,6.0,32.4,16.5,1020.7,24.2,999.8,16.2,W   13.9,1011.6
2019,11,41.2,1.0,14.0,2.8,25.9,14.0,1018.9,40.6,998.3,13.0,S   13.9,1009.2
2019,12,26.2,1.0,16.4,-1.9,19.9,6.9,1026.3,16.4,984.8,6.6,S   16.5,1010.9
2020,1,9.4,1.2,9.2,-6.3,17.9,3.5,1036.0,9.6,999.9,9.2,N   12.9,1018.6
2020,2,32.6,1.5,22.8,-4.7,20.5,7.4,1028.1,31.8,989.6,21.8,NNW 12.9,1011.2
2020,3,39.3,1.5,13.2,-3.0,23.7,10.5,1027.5,38.6,997.1,13.2,S   11.3,1009.9
2020,4,98.2,1.4,23.0,0.9,27.5,12.3,1024.0,98.2,998.1,23.0,NE  11.3,1010.6
2020,5,87.2,1.3,32.2,6.8,32.6,18.4,1018.8,87.2,996.3,32.2,S   11.8,1008.2
2020,6,48.4,1.1,12.0,11.6,37.4,22.7,1012.6,46.6,997.5,12.0,WNW 12.3,1003.3
2020,7,0.0,1.3,0.0,13.1,39.6,26.9,1012.4,0.0,995.8,0.0,NNE 9.3,1005.9
2020,8,1.6,1.3,1.0,16.3,38.5,27.0,1009.8,1.6,998.0,1.0,ENE 9.3,1005.2
2020,9,0.8,1.4,0.4,11.7,36.4,23.7,1017.3,0.8,990.5,0.4,SSE 10.3,1008.7
2020,10,65.6,0.8,26.4,6.8,33.7,17.9,1020.4,64.0,997.5,26.2,SW  13.4,1009.2
2020,11,4.4,1.2,1.6,-2.7,18.3,9.6,1027.6,4.4,1009.0,1.6,N   8.7,1018.4
2020,12,92.0,1.4,22.4,-3.8,17.9,8.5,1024.0,92.0,993.3,22.0,S   10.8,1011.5
2021,1,209.6,1.5,51.0,-6.3,18.2,6.4,1020.0,209.6,989.8,49.6,SW  13.4,1007.2
2021,2,52.6,1.5,23.8,-7.8,22.0,7.2,1029.1,48.6,992.4,23.8,S   13.9,1014.4
2021,3,37.6,1.4,9.6,-3.0,20.8,7.0,1026.9,37.8,989.5,9.8,SSW 11.3,1011.7
2021,4,66.4,1.3,17.8,-0.2,29.1,11.9,1022.3,63.6,993.5,16.0,S   10.8,1009.9
2021,5,29.6,1.3,9.8,4.9,33.0,19.3,1020.1,30.0,997.1,9.8,NNW 9.8,1006.8
2021,6,71.0,0.9,14.0,9.8,38.3,22.3,1016.6,71.4,1001.8,14.0,N   13.4,1007.7
2021,7,24.0,1.3,24.0,16.2,39.5,27.3,1013.3,24.0,996.2,24.0,ENE 11.3,1005.3
2021,8,12.0,1.2,6.2,15.4,39.6,27.1,1015.6,12.0,993.8,6.2,ENE 8.2,1006.3
2021,9,10.0,1.2,6.2,7.5,33.1,20.7,1017.8,10.0,1001.3,6.2,NE  9.3,1010.7
2021,10,75.8,1.2,35.4,4.5,23.8,13.6,1026.0,75.8,998.4,35.6,SSW 8.7,1015.2
2021,11,32.4,1.1,10.6,1.5,23.8,11.1,1030.8,32.4,988.8,10.6,W   12.3,1012.3
2021,12,148.2,1.6,39.0,-5.2,20.3,7.2,1023.0,145.8,991.9,24.6,SSE 13.4,1008.2
2022,1,19.0,1.3,9.2,-7.3,19.0,3.8,1028.5,19.4,994.7,9.2,N   10.8,1013.2
2022,2,88.4,1.3,27.4,-1.8,18.2,6.4,1026.1,87.6,997.5,27.4,NNW 11.8,1011.6
2022,3,9.0,1.5,6.8,-4.8,23.2,5.7,1033.6,9.0,1001.2,6.8,N   11.3,1017.1
2022,4,48.4,1.6,34.2,2.8,27.3,14.2,1017.3,44.6,990.7,34.2,SE  14.9,1006.5
2022,5,35.9,1.0,11.4,5.2,32.8,19.3,1021.9,28.6,998.5,11.4,N   10.3,1011.3
2022,6,36.8,1.2,14.8,13.2,35.4,24.1,1014.3,36.4,1000.0,14.8,NNW 8.2,1007.5
2022,7,2.0,1.3,2.0,15.7,38.3,27.0,1016.5,2.0,1001.7,2.0,N   9.3,1008.7
2022,8,76.2,1.1,36.0,18.9,37.5,27.2,1009.7,76.2,998.4,36.0,NW  9.8,1004.9
2022,9,42.5,1.1,38.0,6.7,34.8,21.3,1017.4,41.4,996.0,38.0,W   9.8,1008.0
2022,10,5.8,1.0,2.2,3.8,33.7,16.5,1026.8,4.4,1003.0,2.2,WNW 9.8,1016.4